score,decision_time
178,120.24766442307737
193,135.27056682633702
138,135.7265662762802
164,127.34104189078789
174,133.08163037500344
180,129.24153692903928
111,138.1052432222059
152,116.13299543457106
147,110.77828329091426
145,147.5297402322758
184,142.05219958978705
172,148.3547550640069
120,122.66001058381516
136,141.10622632596642
159,123.68111368489917
139,163.51941740699112
184,111.72761312895454
174,146.6185332707828
132,123.80932190199383
184,130.929985571187
192,110.46091948065441
155,129.25617846287787
145,121.60281445609871
139,144.58597859402653
182,132.9626973111881
