score,decision_time
100,0.7975276843644679
135,0.8305932810762897
133,0.9533529464388266
113,0.6763688994105905
168,0.9621958129573613
156,0.8380780350416899
157,0.7519517689943314
143,0.770561997895129
129,0.9565943070920184
122,0.8412462251726538
124,0.7864125279011205
107,0.8122438648715615
134,0.774661817937158
111,0.8721389760030434
120,0.9014102463843301
34,0.7432750359876081
71,0.8721815868047997
87,0.966863868990913
176,0.6966558106942102
139,0.7014651629142463
147,0.7512176542077214
166,0.7670688556972891
116,0.6481786642689258
127,0.8500195440137759
114,0.6885970078874379
