score,decision_time
130,9.336879625916481
153,10.043788703973405
165,9.313299178960733
107,7.364876027335413
155,9.713812682894059
170,7.414612328982912
156,7.439438870875165
147,8.122626271564513
190,7.40059599885717
173,8.319010539678857
144,9.041680287453346
157,9.509685014258139
110,9.438464615144767
147,7.579339486779645
186,6.865249217138626
123,6.62475374690257
181,9.503053824882954
165,6.1451114191440865
175,9.346472581033595
162,9.459654713980854
187,7.693268581177108
140,10.00415685493499
167,7.635252523352392
131,8.908599558053538
147,7.019487650133669
156,7.428834083024412
181,10.56463575689122
174,8.616947753005661
141,7.608189185149968
168,9.822226200718433
118,7.123856050311588
143,7.618625641684048
121,7.8883886764524505
97,6.367595353280194
167,7.10029828408733
118,9.04816512693651
176,8.741260486887768
162,10.244206827832386
137,8.393819152144715
132,9.72830334387254
172,10.556160498526879
129,10.27672286820598
198,8.13668818003498
167,6.806571505847387
138,8.369929726119153
179,7.855755071970634
178,6.489961843937635
170,7.519437936367467
112,6.502072453033179
186,6.217166390852071
130,6.992861125501804
135,9.088553094654344
138,6.794409331982024
170,7.08106175577268
174,10.317812525783665
155,7.304213469149545
138,10.296913516358472
178,9.997233467176557
138,8.388672049855813
167,6.437455057399347
135,7.243643774068914
202,8.76500859670341
170,9.55055273801554
142,8.14215898513794
157,6.130737848114222
177,6.3176767320837826
168,8.668396712979302
164,8.731355601572432
154,9.02434335811995
167,7.507800367078744
173,7.701346254092641
170,8.495916219893843
180,8.851760037010536
196,6.786104151280597
121,8.157645350089297
212,6.453577873762697
152,7.337848539929837
159,8.07071449747309
116,7.09429896203801
173,7.586333682062104
132,7.308110436773859
127,7.3275703281397
136,7.407775562140159
176,9.441869167843834
156,8.232811184134334
101,8.51396985561587
188,7.228058744804002
145,6.654864152660593
118,7.433592719840817
137,7.892490903148428
117,8.546087970607914
118,6.696502365986817
105,7.282791918842122
128,9.046611833502539
153,7.0118684764020145
149,7.407856610254385
149,8.28896855772473
136,7.424812854616903
153,8.785896537126973
182,8.88447723374702
166,8.393598984461278
176,7.8964532983955
155,9.257192766992375
206,6.184323748922907
180,8.290376138174906
167,6.582358643761836
176,6.804050917970017
105,7.301369876367971
161,7.806193750933744
172,8.907784381881356
161,8.824113707058132
154,7.7826086460845545
163,7.434142535901628
144,6.372750615468249
117,9.365384467993863
166,6.858283502864651
134,11.123774288105778
152,7.770922434749082
101,8.648554653977044
173,8.603999222046696
110,7.130325214820914
151,8.417127155466005
141,6.776939697796479
179,7.174355152994394
154,8.374642612994649
177,9.450147496070713
127,7.79239429498557
116,8.174771895050071
183,7.164392500766553
154,6.382910940097645
157,8.495159313897602
146,8.645324475946836
153,8.699018752784468
134,7.577840376761742
181,5.88615005183965
186,6.506953457486816
154,7.045762030989863
167,7.935033698799089
175,8.874877583351918
152,9.337388751097023
137,7.503264975966886
81,7.802560392068699
207,8.384565041749738
200,6.490327427396551
148,9.045954265166074
135,9.068605237058364
145,7.491731383022852
206,7.213050991878845
130,7.36938185011968
177,8.52347008313518
165,8.21673684916459
221,7.858133319416083
178,6.449844423914328
119,9.677734265918843
141,9.9628142376896
180,6.813108530128375
183,6.086501711746678
145,8.036201489972882
130,7.199829321238212
169,6.430942268576473
118,8.168139364104718
133,6.042693983996287
186,8.200576240662485
181,8.111734784208238
164,8.22038924798835
101,7.687096073641442
163,10.552747913170606
179,6.802184198051691
157,8.554972268990241
156,5.026576379896142
139,7.61950465827249
118,9.223403106443584
164,6.907114290050231
184,6.065133171156049
161,7.080134309013374
205,5.990832946030423
196,8.074815891683102
137,7.4226520750671625
117,8.766127768205479
120,8.142441333155148
174,6.877345857792534
145,7.3612548457458615
115,7.279160292004235
182,8.21432996855583
161,7.767317158984952
128,8.784547379356809
148,7.935729900957085
168,11.037674452760257
165,9.335237257764675
199,6.136037402553484
185,6.066073580062948
183,9.005247311200947
125,6.956560306949541
106,7.557392798713408
165,6.873771564569324
162,8.599819602444768
161,6.0849744693841785
140,7.190973257296719
233,7.077756891259924
239,9.182790706981905
